,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
22,24,25,25,26,26,26,25,24,25,23,25,26,26,25,25,25,1,2,2,2,2,2,0,3,3,2,3,2,3,2,3,2,2,5,3,2,3,2,3,4,17,2,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,78,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,90,79,84,90,86,86,82,81,91,83,80,82,88,90,82,82,91,85,83,83,91,83,84,91,86,85,82,86,87,82,81,86
23,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,2,3,3,3,3,3,3,0,4,3,4,4,4,3,4,3,3,6,4,3,4,3,4,4,17,3,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,88,84,83,90,80,84,90,88,87,83,82,92,84,81,83,90,90,83,83,92,86,84,84,91,84,85,91,87,86,83,88,89,83,82,87
24,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,2,3,3,3,3,3,3,4,0,3,4,4,4,3,4,3,3,6,4,3,4,3,2,5,18,3,79,82,80,78,80,81,80,81,81,78,83,81,81,78,80,80,80,81,80,79,83,83,83,84,84,84,85,83,84,84,84,83,86,84,85,84,84,83,84,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
25,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,2,2,3,3,0,3,3,3,2,3,2,2,5,3,2,3,2,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
26,26,27,27,28,28,28,27,26,27,25,27,28,28,27,27,27,2,3,3,3,3,3,3,4,4,3,0,4,4,3,4,3,3,6,4,3,4,3,4,5,18,3,79,82,80,78,80,81,80,81,81,78,83,81,81,78,80,80,80,81,80,79,83,83,83,84,84,84,85,83,84,84,84,83,86,84,85,84,84,83,84,86,86,94,87,88,85,84,91,81,85,91,88,87,84,83,93,85,82,84,90,91,84,84,93,87,85,85,92,85,86,92,87,87,84,88,89,84,83,88
27,24,25,25,26,26,26,25,24,25,23,25,26,26,25,25,25,2,3,3,3,3,3,2,4,4,3,4,0,4,3,4,3,3,6,4,3,4,3,4,5,18,3,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,79,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,91,79,85,91,86,87,82,81,91,83,80,82,88,91,82,82,91,85,83,83,92,83,84,92,87,85,82,86,87,82,81,86
28,26,27,27,28,28,28,27,26,27,25,27,28,28,27,27,27,2,3,3,3,3,3,3,4,4,3,4,4,0,3,4,3,3,6,4,3,4,3,4,5,18,3,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,77,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
29,23,24,24,25,25,25,24,23,24,22,24,25,25,24,24,24,1,2,2,2,2,2,2,3,3,2,3,3,3,0,3,2,2,5,3,2,3,2,3,4,17,2,76,79,77,75,77,78,77,78,78,75,80,78,78,75,77,77,77,78,77,76,80,80,80,81,81,81,82,80,81,81,81,80,83,81,82,81,81,80,81,83,83,93,84,85,82,81,88,78,82,88,85,84,81,80,90,82,79,81,87,90,81,81,90,84,82,82,89,82,83,89,84,84,81,85,86,81,80,85
30,24,25,25,26,26,26,25,24,25,23,25,26,26,25,25,25,2,3,3,3,3,3,3,4,4,3,4,4,4,3,0,3,3,6,4,3,4,3,4,3,17,3,76,79,77,75,77,78,77,78,78,75,80,78,78,75,77,77,77,78,77,76,80,80,80,81,81,81,82,80,81,81,81,80,83,81,82,81,81,80,81,83,83,91,84,85,82,81,88,78,82,88,85,84,81,80,90,82,79,81,87,88,81,81,90,84,82,82,89,82,83,89,84,84,81,85,86,81,80,85
31,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,2,2,3,3,2,3,3,3,2,3,0,2,4,3,2,3,2,3,4,17,2,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,77,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
